date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:37	718/718	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258cff4e6-583%22	http://alfafox.site/robots.txt		(from )
12:22:38	218636/218636	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2006:52:37%20GMT	http://alfafox.site/WP/exzo/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/index.html	(from )
12:22:39	29271/29271	---MCZ	200	added ('OK')	text/css	etag:W/%226078d925-7257%22	http://alfafox.site/WP/exzo/wp-includes/css/dist/block-library/style.min.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-includes/css/dist/block-library/style.min35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:39	17380/17380	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/My%20Web%20Sites/exzo/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from http://alfafox.site/WP/exzo/)
12:22:39	1495/1495	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27d93-5d7%22	http://alfafox.site/WP/exzo/wp-includes/css/dist/block-library/theme.min.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-includes/css/dist/block-library/theme.min35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:40	2967/2967	---MCZ	200	added ('OK')	text/css	etag:W/%22622a5842-b97%22	http://alfafox.site/WP/exzo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=2.7.3	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-stylede39.css	(from http://alfafox.site/WP/exzo/)
12:22:41	146335/146335	---MCZ	200	added ('OK')	text/css	etag:W/%22622a5842-23b9f%22	http://alfafox.site/WP/exzo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.7.3	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylede39.css	(from http://alfafox.site/WP/exzo/)
12:22:43	3572/3572	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27e4f-df4%22	http://alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from http://alfafox.site/WP/exzo/)
12:22:43	904/904	---MC-	200	added ('OK')	application/rss+xml	etag:%2230d5620693eab3320fd3334cb143ff49%22	http://alfafox.site/WP/exzo/front-page/feed/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/front-page/feed/index.html	(from http://alfafox.site/WP/exzo/)
12:22:43	11216/11216	---MC-	200	added ('OK')	application/rss+xml	etag:%2230d5620693eab3320fd3334cb143ff49%22	http://alfafox.site/WP/exzo/comments/feed/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/comments/feed/index.html	(from http://alfafox.site/WP/exzo/)
12:22:44	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27e4f-7918%22	http://alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.min1849.css	(from http://alfafox.site/WP/exzo/)
12:22:44	15525/15525	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27e4f-3ca5%22	http://alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style.css?ver=2.2.10	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style8ce6.css	(from http://alfafox.site/WP/exzo/)
12:22:45	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27e30-695%22	http://alfafox.site/WP/exzo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from http://alfafox.site/WP/exzo/)
12:22:45	82818/82818	---MC-	200	added ('OK')	application/rss+xml	etag:%223ab88ad975c5161fe144e0048eb69be9%22	http://alfafox.site/WP/exzo/feed/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/feed/index.html	(from http://alfafox.site/WP/exzo/)
12:22:45	3812/3812	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27e48-ee4%22	http://alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-compare/assets/css/colorbox.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/yith-woocommerce-compare/assets/css/colorbox35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:45	9152/9152	---MCZ	200	added ('OK')	text/css	etag:W/%22622a5841-23c0%22	http://alfafox.site/WP/exzo/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/woocommerce/assets/css/prettyPhoto35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:46	484857/484857	---MCZ	200	added ('OK')	text/css	etag:W/%225ce27e89-765f9%22	http://alfafox.site/WP/exzo/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.0.2	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/js_composer/assets/css/js_composer.min5b21.css	(from http://alfafox.site/WP/exzo/)
12:22:47	117266/117266	---MCZ	200	added ('OK')	text/css	etag:W/%225f9c63ca-1ca12%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/css/bootstrap.min.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/css/bootstrap.min35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:47	10798/10798	---MCZ	200	added ('OK')	text/css	etag:W/%225f9c63ca-2a2e%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/css/bootstrap.extension.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/css/bootstrap.extension35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:47	21574/21574	---MCZ	200	added ('OK')	text/css	etag:W/%225f9c63ca-5446%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/css/swiper.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/css/swiper35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:47	7657/7657	---MCZ	200	added ('OK')	text/css	etag:W/%225f9c63ca-1de9%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/css/sumoselect.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/css/sumoselect35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:48	29055/29055	---MCZ	200	added ('OK')	text/css	etag:W/%225f9c63ca-717f%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/css/font-awesome.min.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/css/font-awesome.min35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:48	13135/13135	---MCZ	200	added ('OK')	text/css	etag:W/%2261b71a19-334f%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/style.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/style35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:49	120655/120655	---MCZ	200	added ('OK')	text/css	etag:W/%225f9c63ca-1d74f%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/css/style.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/css/style35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:49	98181/98181	---MCZ	200	added ('OK')	text/css	etag:W/%22627a6506-17f85%22	http://alfafox.site/WP/exzo/wp-content/uploads/style.css?ver=5.2.17	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/uploads/style35eb.css	(from http://alfafox.site/WP/exzo/)
12:22:50	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a4b53b5-2748%22	http://alfafox.site/WP/exzo/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://alfafox.site/WP/exzo/)
12:22:50	9566/9566	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622a5841-255e%22	http://alfafox.site/WP/exzo/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://alfafox.site/WP/exzo/)
12:22:51	3033/3033	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622a5841-bd9%22	http://alfafox.site/WP/exzo/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=4.3.6	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min0015.js	(from http://alfafox.site/WP/exzo/)
12:22:51	992/992	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce27e89-3e0%22	http://alfafox.site/WP/exzo/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=6.0.2	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart5b21.js	(from http://alfafox.site/WP/exzo/)
12:22:51	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce4feab-17a69%22	http://alfafox.site/WP/exzo/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-includes/js/jquery/jquery4a5f.js	(from http://alfafox.site/WP/exzo/)
12:22:52	828/828	---MCZ	200	added ('OK')	text/xml	date:Thu,%2017%20Nov%202022%2006:52:51%20GMT	http://alfafox.site/WP/exzo/xmlrpc.php?rsd	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/xmlrpc0db0.php	(from http://alfafox.site/WP/exzo/)
12:22:52	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225a4b53aa-415%22	http://alfafox.site/WP/exzo/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-includes/wlwmanifest.xml	(from http://alfafox.site/WP/exzo/)
12:22:53	551565/551565	---MCZ	200	added ('OK')	application/json	date:Thu,%2017%20Nov%202022%2006:52:52%20GMT	http://alfafox.site/WP/exzo/wp-json/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-json/index.html	(from http://alfafox.site/WP/exzo/)
12:22:53	2199/2199	---MCZ	200	added ('OK')	application/json	date:Thu,%2017%20Nov%202022%2006:52:52%20GMT	http://alfafox.site/WP/exzo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Falfafox.site%2FWP%2Fexzo%2F	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-json/oembed/1.0/embed23c4.json	(from http://alfafox.site/WP/exzo/)
12:22:54	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/exzo/www.google-analytics.com/analytics.js	(from http://alfafox.site/WP/exzo/)
12:22:55	115/115	---M--	200	added ('OK')	image/png	etag:%2258cff4af-73%22	http://alfafox.site/WP/exzo/wp-content/uploads/2017/02/favicon.png	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/uploads/2017/02/favicon.png	(from http://alfafox.site/WP/exzo/)
12:22:56	454/454	---M--	200	added ('OK')	image/png	etag:%2258cff4d0-1c6%22	http://alfafox.site/WP/exzo/wp-content/uploads/2016/10/logo-1.png	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/uploads/2016/10/logo-1.png	(from http://alfafox.site/WP/exzo/)
12:22:56	4956/4956	---M--	200	added ('OK')	image/jpeg	etag:%2258cff4d3-135c%22	http://alfafox.site/WP/exzo/wp-content/uploads/2016/10/product-1.jpg	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/uploads/2016/10/product-1.jpg	(from http://alfafox.site/WP/exzo/)
12:22:56	69994/69994	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2006:52:55%20GMT	http://alfafox.site/WP/exzo/wishlist/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wishlist/index.html	(from http://alfafox.site/WP/exzo/)
12:22:56	288/288	---M--	200	added ('OK')	image/png	etag:%225f9c63ce-120%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/img/icon-1.png	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/img/icon-1.png	(from http://alfafox.site/WP/exzo/)
12:22:57	225556/225556	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2006:52:56%20GMT	http://alfafox.site/WP/exzo/index-2/	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/index-2/index.html	(from http://alfafox.site/WP/exzo/)
12:22:57	531/531	---M--	200	added ('OK')	image/png	etag:%225f9c63cf-213%22	http://alfafox.site/WP/exzo/wp-content/themes/exzo/img/icon-3.png	C:/My%20Web%20Sites/exzo/alfafox.site/WP/exzo/wp-content/themes/exzo/img/icon-3.png	(from http://alfafox.site/WP/exzo/)
